Country,aqi_value,Life expectancy,2022 Population
Trinidad and Tobago,94.5,71.06875,1531044.0
Tunisia,70.9090909090909,74.35625,12356117.0
Turkey,51.66804979253112,73.9125,85341241.0
Turkmenistan,104.72222222222223,64.61874999999999,6430770.0
Uganda,85.31746031746032,55.70625,47249585.0
Ukraine,51.054794520547944,69.9375,39701739.0
United Arab Emirates,163.66666666666666,75.7,9441129.0
Uruguay,26.653846153846153,76.075,3422794.0
Uzbekistan,119.08620689655173,68.03125,34627652.0
Vanuatu,30.0,71.3875,326740.0
Yemen,144.57142857142858,63.8625,33696614.0
Zambia,40.666666666666664,53.90625,20017675.0
Zimbabwe,43.74074074074074,50.4875,16320537.0
